Name,SurfaceX,SurfaceY,CumOilBbl,MaxOil ProdBbl_d,MaxOilProdBeforeFracBbl_d,FracUpliftBbl_d
P-101,734027,246441,150001,120,120,1
P-102,733560,246276,27795,62,62,1
P-104,733601,246437,143485,111,111,1
P-105,734185,246397,102393,50,50,1
P-107,733356,246412,89778,59,59,1
P-108,733801,246445,256191,230,230,1
P-109,732804,246727,76906,49,49,1
P-110,733753,246057,86582,66,66,1
P-111,733982,247007,2932,55,55,1
P-112,735261,247104,19058,40,40,1
P-114,735072,247448,24966,45,45,1
P-117,733590,246578,171302,208,208,1
P-118,733790,246772,76093,125,125,1
P-123,733400,247083,195088,203,203,1
P-128,732999,246713,103346,221,221,1
P-129,734717,246391,46875,100,100,1
P-130,734390,246244,157258,162,162,1
P-133,734129,246883,37845,160,160,1
P-134,734320,246049,10731,69,69,1
P-138,732802,246894,232522,221,221,1
P-140,732282,246440,0,0,0,
P-142,733152,246294,169,36,36,1
P-143,734817,246515,16471,46,46,1
P-145,735258,247514,122330,173,173,1
P-146,735544,247094,19857,54,54,1
P-148,734948,247632,28822,102,102,1
P-154,733982,247007,37618,147,147,1
P-2,734188,246198,82279,103,103,1
P-200,733970,246810,0,0,0,
P-202,734222,246759,73183,207,207,1
P-203,734640,246465,40359,48,48,1
P-21,734192,246601,43482,47,47,1
P-22,733768,246266,130225,129,129,1
P-24,734176,247049,124955,209,209,1
P-25,734440,246601,24556,51,51,1
P-27,733350,246249,96001,117,117,1
P-30,734602,247060,682,40,40,1
P-33,733707,245834,22188,83,83,1
P-34,734931,246958,0,0,0,
P-35,733280,245853,1869,55,55,1
P-400,733630,246240,95297,456,456,1
P-401,734040,246160,24196,209,209,1
P-42,732967,245905,0,0,0,
P-48,733757,247258,0,0,0,
P-55,733418,247365,0,0,0,
P-60,735356,247279,72560,82,82,1
P-100,733971,246237,95986,71,71,1
P-113,732510,246790,83599,99,99,1
P-115,732782,246486,251404,186,186,1
P-116,733195,246616,161473,94,94,1
P-119,733642,246781,101110,63,63,1
P-120,733389,246709,177188,197,197,1
P-127,733014,247100,186028,217,217,1
P-135,732811,247095,171588,208,208,1
P-141,732330,246669,38211,70,70,1
P-147,735148,247903,8393,87,87,1
P-149,734960,247820,3988,77,77,1
P-153,731845,246802,64064,77,77,1
P-204,732631,247198,0,0,0,
P-23,734212,245804,0,0,0,
P-28,734988,246185,56162,28,28,1
P-31,734150,247349,0,0,0,
P-32,733812,246934,100853,79,79,1
P-38,735306,246467,0,0,0,
P-40,733369,246560,346533,247,247,1
P-41,732946,246321,70896,65,65,1
P-47,733410,246883,189129,158,158,1
P-49,733053,246484,182561,111,111,1
P-51,733055,247368,0,0,0,
P-54,732586,246999,1752,45,45,1
P-61,735776,246879,0,0,0,
P-67,732086,246591,34444,145,145,1
P-69,735310,247740,100238,97,97,1
P-103,734009,246026,181022,283,49,5.78
P-121,733178,246790,341138,524,148,3.54
P-124,733204,247007,634140,721,148,4.87
P-125,734041,246605,279581,598,73,8.19
P-131,734440,246424,187472,636,100,6.36
P-132,734331,246859,59483,367,58,6.33
P-151,735491,247554,18376,114,114,1.00
P-152,735395,247732,113982,337,337,1.00
P-26,733816,246583,253772,286,167,1.71
P-37,735258,246849,242916,198,57,3.47
P-50,732999,246893,544597,571,56,10.20
P-53,732581,246555,162396,245,61,4.02
P-122,733628,247064,191342,293,73,4.01
P-139,731635,246516,125563,151,100,1.51
P-3,734563,246112,522585,547,86,6.36
